"Agriculture, forestry, and fishing, value added (% of GDP)",CO2 emissions (kg per PPP $ of GDP),Current health expenditure (% of GDP),Lifetime risk of maternal death (%),Population growth (annual %),"Unemployment, total (% of total labor force)",Level of water stress,Internet Penetration Ratio,Urbanization Ratio,Freshwater Withdrawals to Water Productivity Ratio,Cropland Ratio,Water Use (mm/day/yr) - Cropland,Vapor pressure deficit VPD,Normalized difference vegetation index NDVI,Air Temp (Kelvin),Country
17.82976365,0.096526306,4.52035809,1.304670181,1.465967975,13.96,13.38379177,0.030173038,1.059477716,1.103776654,0.152173913,3.04,0.85,0.59,298.58,Haiti
25.77397074,0.137244138,14.8313194,3.466369723,2.908529093,11.085,54.75701944,0.303929051,0.346873906,39.52741829,0.005840568,1.12,1.24,0.23,286.84,Afghanistan
4.392268659,0.288570221,7.4609561,0.159655659,9.219917888,13.08,96.156828,0.507007255,9.26272578,2.864270117,0.081794945,1.07,1.18,0.28,291.87,Jordan
2.452129492,0.125611486,9.61349583,0.011598513,0.143641197,7.76,7.11406213,5.066283451,5.904646827,0.033814606,0.002202643,1.78,0.29,0.55,281.69,Finland
21.61888489,0.402231676,4.26278067,1.368287116,1.808446421,7.957,64.22874204,0.001819086,0.387308898,32.23958569,0.05263537,2.63,1.44,0.38,298.53,India
72.2403877,0.213219014,3.65521455,4.720087536,0.799708514,2.262,0.253369565,0.000994957,0.83019455,0.005931537,0.139986935,4.06,0.48,0.61,298.02,Liberia
0.835524637,1,1,0.036882071,-0.506170057,16.1,22.70596115,0.107969448,15.19433198,0.136904029,0.159876225,3.52,0.63,0.71,298.28,Puerto Rico
26.66047791,0.048169313,7.3156209,1.053312211,2.39670705,13.01,20.1986755,0.044662242,0.211122953,0.362553612,0.137991941,3.34,0.69,0.58,292.79,Rwanda
24.03493298,0.050214043,6.46332979,2.760067371,2.915021971,2.276,4.987953644,0.017564663,0.211020285,0.040702812,0.163413864,3.73,0.74,0.64,295.17,Uganda
31.89888687,0.113050308,5.26807451,1.053163587,2.046896975,8.056,0.833333333,0.020715007,0.404178836,0.008042272,0.381679389,3.29,0.57,0.64,296.83,Comoros
37.45676774,0.097872078,4.48158312,3.549048085,3.170675518,1.349,8.00308642,0.486635171,0.644628643,3.631564299,0.003640688,2.02,2.45,0.34,301.81,Mali
2.036335667,0.244888042,6.94518471,0.050644384,0.896230871,15.87,28.26681247,0.518268155,2.042935824,0.279748975,0.250849949,1.73,0.9,0.38,292.78,Cyprus
16.79094236,0.324626416,3.51468062,0.672181993,1.422391509,8.354,65.73011912,0.010791578,0.433609542,21.58866686,0.063418949,2.38,1.4,0.4,298.53,India
3.073204185,0.32210115,5.83612156,0.147232963,1.429511671,3.56,28.58343211,0.317285825,3.220834037,1.50851867,0.024462794,2.4,1,0.49,294.75,Mexico
7.077163524,0.287559217,6.40607214,0.001530986,-0.42347525,4.05,4.377059987,1.84128282,3.874006921,0.088449827,0.012075836,1.8,0.34,0.52,282.32,Belarus
17.19787406,1.63656403,4.97834015,0.040046762,1.387326307,6.583,143.5600206,0.125172258,0.897821301,3758.398022,0.001729107,1.23,1.62,0.25,290.53,Turkmenistan
5.544304066,0.566637599,4.74544334,0.208289745,0.487837447,6.868,11.03470123,0.025040519,1.094284697,0.991972291,0.232067511,3.16,0.69,0.68,298.23,Jamaica
8.583495058,0.695330305,9.06270218,0.015770809,-0.98232761,29.393,2.516600266,0.191175021,0.774559909,0.031901284,0.044897207,2.33,0.35,0.53,283.34,Bosnia and Herzegovina
36.96508267,0.258137954,2.49063969,6.535272318,2.682889956,3.751,8.38,0.002252356,0.575001575,0.24092328,0.094721783,2.88,1.85,0.39,300.08,Nigeria
1.936874874,0.304090514,2.97564673,0.070699337,1.520500352,4.197,87.91428571,0.847301582,2.549497746,2.270666712,0.029211956,0.73,1.8,0.21,299.7,Oman
11.82992122,0.169467755,7.33703375,3.211641205,4.075541524,5.677,10.36578341,0.096991425,0.413307705,5.026109121,0.000396458,1.69,1.8,0.26,297.76,Eritrea
1.765360762,0.185142772,6.94943047,0.089068769,0.81751772,7.07,31.57463095,0.647139196,2.012501883,0.273512823,0.218641468,2.02,0.82,0.43,292.93,Cyprus
4.651168823,0.162089053,8.03539562,0.144131963,1.117202878,10.55,2.728605201,0.940650816,4.82546895,0.042990963,0.049387787,2.73,0.94,0.58,297.19,Brazil
37.95242609,0.099277759,2.76365352,1.909385425,2.66890927,6.574,4.753705318,0.017832203,0.873711823,0.162033614,0.157473493,3.73,0.91,0.54,299.45,Ghana
32.23501073,0.094675711,4.46636009,4.05606624,3.818205941,1.381,6.198141828,0.078094111,0.193431354,6.932982234,0.002189046,0.95,2.62,0.25,301.91,Niger
2.807249908,0.293739949,8.82774162,0.004376181,0.265457837,7.76,19.62022051,0.444489138,3.092992796,0.61177042,0.148622176,1.72,0.73,0.48,288.22,Greece
28.46200731,1.556053792,5.1882515,0.117414842,1.163675244,9.072,147.5480356,0.0326059,0.907341357,455.9761091,0.012841988,2.24,1,0.31,287.1,Uzbekistan
5.662926018,0.43933305,9.28233719,0.060681565,1.300762376,8.091,39.48085659,0.0161042,6.26744186,1.113326651,0.228896104,1.5,0.74,0.29,287.21,Lebanon
25.07940866,1.205912352,4.75141335,0.120250487,1.220216354,6.012,141.3950228,0.105116424,0.961592028,339.1158726,0.013334853,1.85,1.23,0.29,288.11,Uzbekistan
2.535231182,0.155216272,9.08897781,0.00558564,-0.298951059,24.44,44.79754601,0.819928501,3.846370069,0.842896415,0.184739258,1.33,0.76,0.38,287.67,Spain
3.995237682,0.204261512,7.4782691,0.02205339,-0.283360436,11.03,9.02417962,0.617530895,2.26349455,3.950141171,0.034288926,1.65,0.55,0.46,284.6,Hungary
0.626600481,1,1,0.034004837,0.020462636,10.31,21.65661978,0.051294985,16.14677641,0.114001943,0.186602871,3.31,0.64,0.69,297.72,Puerto Rico
23.77378367,0.168144409,6.6654973,0.089805217,2.305131333,8.227,69.30934893,0.291528428,0.363419456,22.29315943,0.028469307,1.68,0.96,0.28,284.57,Tajikistan
1.421776133,0.330166459,7.49560881,0.087161617,0.241564354,11.55,87.5,0.111512831,0.458342448,1.327276363,0.08,2.47,0.77,0.61,299.44,Barbados
0.31623018,0.487696778,4.97671938,0.038372484,3.816604913,1.197,137.1551724,0.053390996,8.09008272,20.38026542,0.348837209,0.39,1.28,0.21,299.62,Bahrain
22.9161876,0.156888311,6.71663332,1.258074183,3.043019717,3.43,1.751486326,0.190419221,0.524390244,0.13561796,0.00737137,2.11,1,0.51,296.98,Mozambique
9.601116667,0.246871385,6.47737551,0.201093411,1.641883117,3.46,6.782352941,0.511248168,1.6918625,0.257820621,0.187786717,3.1,0.41,0.55,294.09,Ecuador
25.30930213,0.051891231,5.87333822,2.697452484,2.905723394,4.92,17.50483809,0.007055044,0.182438425,1.618167295,0.02461258,1.84,0.82,0.49,294.29,Malawi
0.805660904,1,1,0.024760326,-1.93497109,11.8,19.53561063,0.17872885,14.62988434,0.105647742,0.117713004,2.99,0.61,0.71,298.26,Puerto Rico
1.476561082,0.292388441,2.8300879,0.064290432,1.739164516,4.058,103.9142857,3.074879047,2.9407314,2.44942706,0.025440044,0.86,1.87,0.21,299.98,Oman
1.146817768,0.188697638,10.22582531,0.008322417,0.26195319,5.3,9.673597679,0.726460428,1.363116478,0.062615169,0.02372093,2.15,0.36,0.49,282.96,Austria
4.801043016,0.194733927,8.54963303,0.162763401,1.320694758,10.65,2.668085106,0.21238648,4.420935653,0.046762119,0.042893316,2.95,0.88,0.58,296.8,Brazil
1.599060927,0.124894425,11.1359272,0.007509689,0.55554079,3.82,16.80356059,0.176314728,11.87995878,0.776597795,0.020507592,1.49,0.38,0.57,284.89,Netherlands
10.69888045,0.269179133,4.73306799,0.529749948,1.319052688,11.01,63.47141554,0.221221388,1.230848168,8.385958395,0.028910601,1.16,0.91,0.31,290.18,Morocco
16.85117865,0.178429981,5.50864172,0.305263495,-0.194366444,15.589,3.298401827,20.19904567,0.365858989,0.119028539,0.032225579,3.71,0.6,0.57,299.3,Guyana
7.207272012,0.612484219,9.68943882,0.011433386,-1.622015854,23.41,2.602257636,0.450016635,0.815541031,0.027902103,0.042253521,2.85,0.42,0.55,284.49,Bosnia and Herzegovina
8.452185377,0.665646638,6.89090872,0.020926236,-0.754796951,12.04,47.55665607,0.255520872,2.359424866,5.262586951,0.039587242,2.05,0.47,0.49,284.76,Bulgaria
2.415485153,0.413729872,3.5033966,0.191137783,1.946077689,19.46,817.1428571,4.850683041,3.707211448,73.21213591,0.021816998,0.32,1.34,0.21,293.7,Libya
0.690452377,0.509543491,5.19675922,0.060173942,0.687007914,2.48,20.32648126,0.220666303,1.146521562,0.108791246,0.407407407,3.17,0.7,0.61,299.25,Trinidad and Tobago
38.67975495,0.125709437,4.31281853,5.372291655,2.872414027,2.683,21.69235474,0.002328124,0.183487976,1.945532167,0.022265188,2.66,0.91,0.47,291.47,Ethiopia
0.288059552,0.413814493,4.12745647,0.028719079,2.072370164,1.185,133.7068966,0.051731847,8.334453468,17.56261469,0.348837209,0.59,1.28,0.22,299.95,Bahrain
34.93417192,0.039665638,10.5808115,4.302894536,3.671792203,2.423,10.19286754,0.002262666,0.109434632,0.328379873,0.219178082,3.73,0.74,0.62,293.01,Burundi
19.51465654,0.137101818,5.64253759,1.901684099,2.411629916,3.707,3.391634981,0.136764099,0.731541765,0.062638375,0.044502618,3.16,1.19,0.51,300.56,Togo
